Gene Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YNL143C,1232.735,-11.733,1.462,-8.025,1.01E-15,4.05E-14
YLR154W-A,50.258,-9.004,1.500,-6.002,1.95E-09,3.04E-08
YOR133W,580.010,-8.536,1.457,-5.859,4.64E-09,6.81E-08
YKR105C,41.099,-8.096,1.509,-5.367,8.02E-08,8.96E-07
YCR024C-B,103.680,-8.015,1.474,-5.437,5.43E-08,6.42E-07
YHR145C,68.606,-7.190,1.499,-4.795,1.62E-06,1.36E-05
YHL001W,100.960,-6.651,1.474,-4.511,6.45E-06,4.65E-05
YNL303W,41.940,-6.273,1.504,-4.171,3.03E-05,0.000187173
YPR192W,20.629,-6.043,1.464,-4.128,3.66E-05,0.000221874
YGL208W,87.407,-5.828,0.729,-7.993,1.32E-15,5.24E-14
YER085C,5.531,-5.561,1.825,-3.047,0.002313312,0.008126481
YER066C-A,6.976,-5.551,1.749,-3.174,0.00150153,0.005611905
YHR136C,218.182,-5.456,0.461,-11.848,2.20E-32,4.79E-30
YGR182C,29.202,-5.291,1.524,-3.472,0.000517184,0.00224816
YNL336W,35.594,-5.239,1.512,-3.465,0.000529524,0.002292638
YPR202W,32.422,-5.178,1.518,-3.412,0.000644929,0.00272292
YLL046C,3.772,-5.008,1.980,-2.529,0.011445684,0.031775815
YAL061W,260.709,-4.937,0.380,-13.007,1.11E-38,4.65E-36
YFL030W,45.711,-4.924,0.785,-6.272,3.56E-10,6.32E-09
YLR252W,9.920,-4.855,1.661,-2.923,0.003461213,0.01149089
YER067W,34.733,-4.847,0.878,-5.524,3.32E-08,4.18E-07
YPR145C-A,2.142,-4.686,2.341,-2.001,0.045352883,0.099769004
YDR095C,4.508,-4.620,1.888,-2.447,0.014403289,0.038621838
YLR294C,25.021,-4.619,1.448,-3.190,0.001421073,0.005333192
YHR039C-A,22.287,-4.560,1.546,-2.951,0.00317084,0.010696666
YHR140W,42.530,-4.516,0.741,-6.097,1.08E-09,1.77E-08
YBL071C,11.715,-4.480,1.629,-2.750,0.005959273,0.018195692
YIL100W,2.898,-4.477,2.127,-2.105,0.035285508,0.081548063
YDR070C,9.138,-4.467,1.372,-3.255,0.001133205,0.004382202
YKR039W,79.183,-4.432,0.555,-7.980,1.46E-15,5.75E-14
YLR053C,12.965,-4.419,1.285,-3.440,0.000581099,0.002498035
YIL060W,13.511,-4.372,1.609,-2.718,0.006570191,0.019904569
YKL223W,2.640,-4.340,2.159,-2.010,0.044388132,0.098003516
YDR001C,505.195,-4.315,0.266,-16.233,2.95E-59,3.21E-56
YFL014W,32.755,-4.253,0.808,-5.263,1.41E-07,1.47E-06
YGL168W,10.210,-4.242,1.658,-2.559,0.010494082,0.029660508
YCL064C,1773.505,-4.226,0.197,-21.401,1.29E-101,7.04E-98
YCL040W,1879.652,-4.198,0.678,-6.195,5.81E-10,1.00E-08
YDR533C,281.058,-4.197,0.794,-5.283,1.27E-07,1.34E-06
YPL198W,202.667,-4.108,1.605,-2.560,0.010471071,0.02961086
YNL170W,9.666,-4.073,1.661,-2.452,0.01419214,0.038149707
YOR100C,20.995,-4.050,0.934,-4.337,1.45E-05,9.62E-05
YLR269C,6.382,-4.048,1.768,-2.289,0.022096591,0.055246558
YBR054W,184.733,-4.036,0.354,-11.397,4.32E-30,8.11E-28
YAL054C,43.695,-4.009,0.665,-6.030,1.64E-09,2.58E-08
YML100W,492.530,-4.007,0.272,-14.753,2.93E-49,1.99E-46
YMR133W,34.875,-4.003,0.747,-5.360,8.30E-08,9.20E-07
YOR015W,8.550,-3.993,1.688,-2.366,0.018001754,0.046395043
YJL161W,39.231,-3.987,0.691,-5.769,7.98E-09,1.12E-07
YJL077C,5.442,-3.952,1.828,-2.162,0.030648574,0.072338085
YNL134C,1428.211,-3.945,0.246,-16.029,8.04E-58,7.29E-55
YOR300W,6.623,-3.930,1.752,-2.244,0.024846876,0.060781517
YKL084W,34.134,-3.889,0.719,-5.408,6.37E-08,7.30E-07
YPL282C,5.974,-3.872,1.705,-2.271,0.023159052,0.057341862
YOR170W,5.619,-3.862,1.811,-2.133,0.032901851,0.076888813
YPR146C,7.574,-3.854,1.715,-2.247,0.024644074,0.060421314
YDR461C-A,8.710,-3.839,1.377,-2.788,0.005310107,0.016519658
YBR052C,204.015,-3.834,0.336,-11.401,4.12E-30,8.00E-28
YLR258W,635.470,-3.812,0.241,-15.837,1.72E-56,1.34E-53
YGR234W,2331.883,-3.801,0.206,-18.491,2.46E-76,6.68E-73
YBL109W,6.172,-3.717,1.457,-2.552,0.010721878,0.030194495
YKR053C,132.293,-3.704,0.382,-9.694,3.19E-22,2.48E-20
YCR018C,44.895,-3.697,0.628,-5.888,3.91E-09,5.83E-08
YBL113C,30.695,-3.693,1.520,-2.429,0.015138733,0.040080053
YNL196C,27.100,-3.525,0.756,-4.662,3.13E-06,2.43E-05
YHR139C,27.834,-3.476,0.742,-4.686,2.78E-06,2.21E-05
YDR119W-A,12.364,-3.425,0.979,-3.498,0.000468365,0.002063723
YOR173W,80.985,-3.421,0.486,-7.045,1.85E-12,4.68E-11
YOL082W,382.121,-3.418,0.275,-12.443,1.52E-35,4.14E-33
YNL036W,840.929,-3.403,1.392,-2.445,0.014478946,0.038786458
YGR044C,38.504,-3.360,0.639,-5.257,1.47E-07,1.52E-06
YKL026C,19.104,-3.316,0.860,-3.856,0.000115471,0.000605528
YPR006C,57.959,-3.300,0.517,-6.383,1.73E-10,3.24E-09
YMR251W,74.422,-3.229,0.473,-6.834,8.28E-12,1.95E-10
YMR250W,453.361,-3.228,0.249,-12.975,1.70E-38,6.61E-36
YJL079C,209.916,-3.218,0.312,-10.331,5.10E-25,5.44E-23
YJL217W,355.782,-3.213,0.803,-4.003,6.26E-05,0.000356246
YER150W,33.304,-3.167,0.676,-4.683,2.83E-06,2.23E-05
YGR043C,25.524,-3.164,0.742,-4.265,2.00E-05,0.000128435
YDR193W,5.079,-3.155,1.571,-2.009,0.044548942,0.098238909
YML128C,296.809,-3.121,0.279,-11.172,5.56E-29,9.45E-27
YBR066C,171.873,-3.101,0.330,-9.384,6.34E-21,4.20E-19
YDL024C,15.469,-3.099,0.928,-3.341,0.000834017,0.003384614
YOR028C,169.686,-3.091,0.350,-8.829,1.06E-18,5.75E-17
YDL210W,26.917,-3.090,0.719,-4.295,1.74E-05,0.000114108
YNL210W,67.670,-3.077,0.462,-6.666,2.63E-11,5.68E-10
YIL121W,347.121,-3.071,0.263,-11.662,1.99E-31,4.01E-29
YGR248W,77.675,-3.038,0.433,-7.007,2.43E-12,6.08E-11
YML123C,6793.013,-3.029,0.181,-16.696,1.41E-62,1.92E-59
YOR178C,131.605,-3.023,0.359,-8.415,3.93E-17,1.78E-15
YHR022C,310.891,-3.021,0.268,-11.256,2.16E-29,3.79E-27
YHL021C,721.358,-3.009,0.226,-13.290,2.64E-40,1.20E-37
YHR124W,123.959,-2.986,0.358,-8.336,7.68E-17,3.37E-15
YGR066C,28.076,-2.977,0.684,-4.350,1.36E-05,9.15E-05
YOR161C,481.090,-2.918,0.234,-12.455,1.32E-35,3.78E-33
YDR274C,11.969,-2.918,1.014,-2.877,0.004009863,0.013033854
YCR010C,10.747,-2.900,1.091,-2.658,0.007864924,0.02322511
YNL335W,31.181,-2.885,0.641,-4.501,6.76E-06,4.86E-05
YER179W,36.479,-2.883,0.601,-4.800,1.59E-06,1.33E-05
YMR319C,490.571,-2.847,0.259,-11.002,3.76E-28,6.01E-26
YPL182C,7.609,-2.836,1.409,-2.013,0.044143306,0.097622617
YGR131W,17.483,-2.814,0.838,-3.356,0.000789562,0.003236311
YJR095W,9.427,-2.808,1.131,-2.484,0.013008774,0.035388551
YGR230W,28.594,-2.781,0.666,-4.173,3.00E-05,0.000185718
YBR180W,55.157,-2.770,0.495,-5.600,2.15E-08,2.79E-07
YBR092C,460.876,-2.766,0.235,-11.749,7.18E-32,1.50E-29
YKL188C,89.824,-2.766,0.431,-6.413,1.42E-10,2.71E-09
YFR017C,38.004,-2.755,0.583,-4.729,2.26E-06,1.82E-05
YGR138C,254.874,-2.726,0.275,-9.913,3.67E-23,3.22E-21
YDR281C,12.017,-2.690,1.036,-2.597,0.009397373,0.026981475
YDL247W,63.243,-2.684,0.457,-5.877,4.19E-09,6.22E-08
YER106W,6.612,-2.672,1.333,-2.005,0.045008293,0.099171433
YNL160W,389.249,-2.672,0.245,-10.916,9.63E-28,1.45E-25
YPR200C,17.313,-2.665,0.825,-3.229,0.001243525,0.004755478
YLR356W,83.543,-2.653,0.410,-6.476,9.42E-11,1.85E-09
YMR195W,381.491,-2.649,0.250,-10.601,2.95E-26,3.73E-24
YLR178C,154.202,-2.644,0.339,-7.799,6.22E-15,2.23E-13
YBR214W,370.253,-2.598,0.284,-9.152,5.61E-20,3.47E-18
YOR050C,7.605,-2.589,1.248,-2.075,0.037946617,0.086214563
YLR303W,301.138,-2.575,0.273,-9.445,3.54E-21,2.41E-19
YOR020W-A,17.937,-2.574,0.850,-3.029,0.002452305,0.008541302
YBR026C,315.423,-2.574,0.252,-10.215,1.70E-24,1.71E-22
YMR035W,63.057,-2.565,0.459,-5.591,2.26E-08,2.91E-07
YIL111W,87.109,-2.561,0.422,-6.069,1.29E-09,2.06E-08
YGR088W,386.316,-2.556,0.257,-9.947,2.59E-23,2.31E-21
YOR339C,7.397,-2.553,1.244,-2.052,0.040129363,0.090212268
YGR161W-C,10.572,-2.550,1.022,-2.495,0.012582259,0.034365807
YMR148W,34.752,-2.536,0.662,-3.830,0.000128343,0.000661545
YNL333W,27.774,-2.533,0.649,-3.904,9.48E-05,0.000508149
YDL222C,36.454,-2.528,0.592,-4.267,1.98E-05,0.000127553
YPR201W,47.506,-2.517,0.564,-4.466,7.98E-06,5.65E-05
YBR117C,92.109,-2.512,0.410,-6.121,9.29E-10,1.54E-08
YHR160C,34.855,-2.512,0.638,-3.938,8.23E-05,0.000447616
YGL096W,104.134,-2.495,0.382,-6.528,6.66E-11,1.35E-09
YIR032C,19.834,-2.495,0.751,-3.320,0.000900626,0.003611803
YOL015W,71.022,-2.484,0.432,-5.744,9.24E-09,1.29E-07
YMR206W,10.769,-2.476,1.019,-2.430,0.015092743,0.039977756
YOR152C,119.390,-2.473,0.343,-7.217,5.30E-13,1.42E-11
YDL214C,23.836,-2.472,0.689,-3.586,0.000336232,0.001562762
YEL023C,91.417,-2.459,0.380,-6.464,1.02E-10,1.99E-09
YOR388C,29.980,-2.452,0.617,-3.973,7.09E-05,0.000396361
YHR055C,17.716,-2.444,0.824,-2.966,0.003017676,0.010243524
YBR050C,20.792,-2.439,0.726,-3.358,0.000784435,0.003224307
YGL263W,19.805,-2.434,1.012,-2.405,0.016179165,0.042401108
YEL028W,22.407,-2.429,0.726,-3.345,0.000822937,0.003354669
YGR019W,330.452,-2.424,0.252,-9.621,6.54E-22,4.68E-20
